ToolName,ModelName,Strength,Iteration,ErrorType,TimeSeconds,Size
caopt,UNIFORM_BOOLEAN_12,3,2,,10.88,26
acts,MCAC_6,3,1,,1.27,1578
acts,MCA_21,5,1,,237.81,280663
cagen,UNIFORM_BOOLEAN_2,2,2,,0.0,12
caopt,UNIFORM_BOOLEAN_5,2,2,,0.38,9
cagen,NUMC_3,3,1,,0.41,5824
cagen,MCA_1,3,2,,0.13,3302
caopt,MCA_6,3,1,,293.56,2365
kali,MCAC_12,6,1,Timeout,301.0,0
kali,FM_4,6,1,Invalid,14.08,3
medici,INDUSTRIAL_3,5,1,,50.38,324
cagen,UNIFORM_BOOLEAN_12,3,1,,0.0,32
acts,MCA_5,5,1,,63.63,497719
caopt,HIGHLY_CONSTRAINED_4,2,3,,0.19,3
medici,BOOLC_24,5,1,,56.74,149
cagen,MCA_16,4,1,,5.37,79640
cagen,MCAC_19,2,3,,0.03,131
kali,UNIFORM_BOOLEAN_11,3,1,,2.24,31
kali,CNF_20,2,1,Invalid,9.61,377
kali,NUMC_23,3,2,Invalid,3.35,1
kali,UNIFORM_ALL_8,3,2,Timeout,301.0,0
medici,NUMC_14,5,1,Invalid,0.0,3
kali,UNIFORM_BOOLEAN_6,5,1,,12.33,197
kali,INDUSTRIAL_8,3,1,Invalid,3.29,73
pmedici,FM_8,5,1,,2.33,40
cagen,BOOLC_13,3,1,,0.01,20
caopt,BOOLC_23,2,2,,0.38,10
caopt,BOOLC_1,3,2,,3.48,25
kali,BOOLC_25,6,1,Invalid,64.98,18
kali,HIGHLY_CONSTRAINED_15,2,1,Invalid,3.99,228
caopt,INDUSTRIAL_11,4,1,,15.07,142
medici,UNIFORM_BOOLEAN_11,3,1,,1.13,16
acts,MCAC_21,5,1,,80.79,8818
caopt,NUMC_19,2,3,,206.0,234
cagen,CNF_17,4,1,,2.65,20653
caopt,FM_9,3,1,,0.98,33
kali,MCAC_6,4,1,Invalid,10.0,4
pmedici,UNIFORM_BOOLEAN_6,5,1,,16.26,219
kali,MCA_21,2,1,Invalid,4.66,287
cagen,BOOLC_17,3,3,,0.01,20
caopt,INDUSTRIAL_8,2,1,,0.38,19
caopt,HIGHLY_CONSTRAINED_28,2,2,,0.38,19
acts,FM_5,5,1,,40.33,229
acts,CNF_17,2,2,,0.69,177
kali,NUMC_14,4,1,Timeout,13.89,0
medici,MCA_29,2,1,,18.75,210
medici,NUMC_23,2,2,Invalid,0.02,91
kali,NUMC_3,2,2,Invalid,9.46,478
caopt,BOOLC_14,5,1,,0.39,13
cagen,INDUSTRIAL_6,3,2,,0.01,110
