ToolName,Strength,Category,N_TimeOut
appts,2,MCAC_,1
cagen,2,MCAC_,13
pmedici,2,MCAC_,9
cagen,2,BOOLC_,3
appts,5,MCAC_,37
cagen,5,MCAC_,15
pmedici,5,MCAC_,1
appts,5,MCA_,21
cagen,5,MCA_,14
iposolver,5,MCA_,26
pmedici,5,MCA_,2
appts,5,BOOLC_,16
appts,5,UNIFORM_ALL_,25
cagen,5,UNIFORM_ALL_,15
iposolver,5,UNIFORM_ALL_,26
pmedici,5,UNIFORM_ALL_,2
appts,3,MCAC_,28
cagen,3,MCAC_,13
pmedici,3,MCAC_,31
appts,3,MCA_,4
pmedici,3,MCA_,31
cagen,3,BOOLC_,3
pmedici,3,UNIFORM_ALL_,19
appts,4,MCAC_,33
cagen,4,MCAC_,9
pmedici,4,MCAC_,24
appts,4,MCA_,10
iposolver,4,MCA_,20
pmedici,4,MCA_,34
appts,4,UNIFORM_ALL_,14
iposolver,4,UNIFORM_ALL_,17
pmedici,4,UNIFORM_ALL_,32
