ToolName,Strength,Category,N_TimeOut
kali,3,MCAC_,8
kali,3,MCA_,1
kali,3,NUMC_,12
medici,3,NUMC_,10
kali,3,UNIFORM_ALL_,5
acts,3,INDUSTRIAL_,1
kali,3,INDUSTRIAL_,2
kali,3,HIGHLY_CONSTRAINED_,4
kali,3,CNF_,6
kali,5,MCAC_,20
medici,5,MCAC_,15
kali,5,MCA_,8
medici,5,MCA_,10
kali,5,NUMC_,19
medici,5,NUMC_,10
kali,5,UNIFORM_ALL_,6
medici,5,UNIFORM_ALL_,5
acts,5,INDUSTRIAL_,1
kali,5,INDUSTRIAL_,5
medici,5,INDUSTRIAL_,4
kali,5,HIGHLY_CONSTRAINED_,23
medici,5,HIGHLY_CONSTRAINED_,10
kali,5,FM_,3
kali,5,CNF_,18
medici,5,CNF_,16
kali,2,MCAC_,3
kali,2,NUMC_,2
medici,2,NUMC_,10
acts,2,INDUSTRIAL_,1
caopt,2,INDUSTRIAL_,4
kali,2,INDUSTRIAL_,1
kali,2,HIGHLY_CONSTRAINED_,3
kali,2,CNF_,3
kali,6,MCAC_,21
medici,6,MCAC_,22
kali,6,MCA_,9
medici,6,MCA_,19
kali,6,NUMC_,20
medici,6,NUMC_,10
kali,6,BOOLC_,2
kali,6,UNIFORM_ALL_,8
medici,6,UNIFORM_ALL_,11
acts,6,INDUSTRIAL_,1
kali,6,INDUSTRIAL_,4
medici,6,INDUSTRIAL_,5
kali,6,HIGHLY_CONSTRAINED_,22
medici,6,HIGHLY_CONSTRAINED_,22
kali,6,FM_,4
medici,6,FM_,4
kali,6,CNF_,19
medici,6,CNF_,21
kali,4,MCAC_,15
kali,4,MCA_,3
kali,4,NUMC_,19
medici,4,NUMC_,10
kali,4,UNIFORM_ALL_,5
medici,4,UNIFORM_ALL_,3
acts,4,INDUSTRIAL_,1
kali,4,INDUSTRIAL_,5
medici,4,INDUSTRIAL_,2
kali,4,HIGHLY_CONSTRAINED_,18
kali,4,CNF_,14
caopt,5,BOOLC_,1
caopt,5,HIGHLY_CONSTRAINED_,1
caopt,6,BOOLC_,1
caopt,6,NUMC_,1
