ToolName,Strength,Category,N_Valid
acts,3,MCAC_,20
cagen,3,MCAC_,18
caopt,3,MCAC_,27
kali,3,MCAC_,1
medici,3,MCAC_,10
pmedici,3,MCAC_,10
acts,3,MCA_,30
cagen,3,MCA_,30
caopt,3,MCA_,30
kali,3,MCA_,20
medici,3,MCA_,15
pmedici,3,MCA_,29
acts,3,NUMC_,21
cagen,3,NUMC_,21
caopt,3,NUMC_,24
acts,3,BOOLC_,30
cagen,3,BOOLC_,30
caopt,3,BOOLC_,30
kali,3,BOOLC_,7
medici,3,BOOLC_,30
pmedici,3,BOOLC_,30
acts,3,UNIFORM_BOOLEAN_,15
cagen,3,UNIFORM_BOOLEAN_,15
caopt,3,UNIFORM_BOOLEAN_,15
kali,3,UNIFORM_BOOLEAN_,15
medici,3,UNIFORM_BOOLEAN_,15
pmedici,3,UNIFORM_BOOLEAN_,15
acts,3,UNIFORM_ALL_,15
cagen,3,UNIFORM_ALL_,15
caopt,3,UNIFORM_ALL_,11
kali,3,UNIFORM_ALL_,10
medici,3,UNIFORM_ALL_,10
pmedici,3,UNIFORM_ALL_,10
acts,3,INDUSTRIAL_,14
cagen,3,INDUSTRIAL_,14
caopt,3,INDUSTRIAL_,11
kali,3,INDUSTRIAL_,1
medici,3,INDUSTRIAL_,8
pmedici,3,INDUSTRIAL_,11
acts,3,HIGHLY_CONSTRAINED_,25
cagen,3,HIGHLY_CONSTRAINED_,24
caopt,3,HIGHLY_CONSTRAINED_,29
medici,3,HIGHLY_CONSTRAINED_,13
pmedici,3,HIGHLY_CONSTRAINED_,12
acts,3,FM_,15
cagen,3,FM_,15
caopt,3,FM_,15
kali,3,FM_,1
medici,3,FM_,14
pmedici,3,FM_,15
acts,3,CNF_,30
cagen,3,CNF_,30
caopt,3,CNF_,30
medici,3,CNF_,12
pmedici,3,CNF_,16
acts,5,MCAC_,14
cagen,5,MCAC_,14
caopt,5,MCAC_,4
medici,5,MCAC_,3
pmedici,5,MCAC_,3
acts,5,MCA_,23
cagen,5,MCA_,28
caopt,5,MCA_,1
kali,5,MCA_,4
pmedici,5,MCA_,3
acts,5,NUMC_,12
cagen,5,NUMC_,14
caopt,5,NUMC_,1
acts,5,BOOLC_,30
cagen,5,BOOLC_,30
caopt,5,BOOLC_,26
kali,5,BOOLC_,1
medici,5,BOOLC_,30
pmedici,5,BOOLC_,30
acts,5,UNIFORM_BOOLEAN_,15
cagen,5,UNIFORM_BOOLEAN_,15
caopt,5,UNIFORM_BOOLEAN_,15
kali,5,UNIFORM_BOOLEAN_,15
